Selected,loan_amnt,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,addr_state,open_acc,revol_bal,total_acc,application_type,default,term_m,int_rate_num,dti_clean,revol_util_clean,fico_mid,log_annual_inc,F_default,I_default,P_1,P_0,risk_band
0,5475,200.67,E,E1,10+ years,MORTGAGE,108000,Verified,debt_consolidation,FL,11,3045,27,Individual,1,36,18.99,33.47,41,672,11.589886506,1,0,0.2882758226,0.7117241774,Medium
0,6000,187.77,A,A5,10+ years,MORTGAGE,49000,Not Verified,debt_consolidation,CO,10,2212,16,Individual,0,36,7.91,17.92,4.4,797,10.799575577,0,0,0.0332061441,0.9667938559,Low
0,30000,924.87,G,G2,1 year,MORTGAGE,115000,Verified,other,CO,14,50634,20,Individual,1,60,27.49,17.73,58.7,677,11.652687407,1,1,0.5129525801,0.4870474199,High
0,6000,214.73,D,D3,10+ years,MORTGAGE,120000,Verified,debt_consolidation,CO,16,20408,21,Individual,0,36,17.27,23.03,76.4,662,11.695247022,0,0,0.2550990512,0.7449009488,Medium
0,10000,318.79,B,B2,10+ years,MORTGAGE,38000,Source Verified,credit_card,VA,13,12012,23,Individual,0,36,9.17,13.9,63.6,677,10.545341439,0,0,0.0989124299,0.9010875701,Low
0,12000,395.6,B,B5,10+ years,RENT,56000,Not Verified,debt_consolidation,NY,16,10139,27,Individual,0,36,11.48,11.23,82,662,10.93310697,0,0,0.162043328,0.837956672,Medium
0,15000,512.6,C,C4,< 1 year,MORTGAGE,145000,Verified,debt_consolidation,OH,17,17201,23,Individual,0,36,13.99,28.43,56.6,677,11.884489021,0,0,0.2271334356,0.7728665644,Medium
0,20000,535.46,E,E4,8 years,MORTGAGE,67500,Source Verified,debt_consolidation,PA,11,7041,20,Individual,0,60,20.5,24.78,21.6,692,11.119882877,0,1,0.5016370415,0.4983629585,High
0,12000,378.76,B,B1,6 years,MORTGAGE,120000,Source Verified,debt_consolidation,MD,10,5234,24,Individual,0,36,8.49,17.99,61,672,11.695247022,0,0,0.0920012392,0.9079987608,Low
0,6000,193.05,B,B3,< 1 year,RENT,75000,Source Verified,debt_consolidation,CA,5,6847,11,Individual,0,36,9.8,9.66,93.8,727,11.225243393,0,0,0.0841188932,0.9158811068,Low
0,20000,652.7,B,B4,9 years,MORTGAGE,127000,Source Verified,credit_card,TN,22,25312,39,Individual,1,36,10.78,17.54,46.6,692,11.751942365,1,0,0.1287451465,0.8712548535,Medium
0,16000,399.97,D,D3,4 years,MORTGAGE,60000,Verified,other,IL,16,21659,35,Individual,1,60,17.27,31.84,62,667,11.002099841,1,0,0.4503876805,0.5496123195,High
0,20000,683.46,C,C4,10+ years,MORTGAGE,70000,Verified,debt_consolidation,WI,13,20543,32,Individual,0,36,13.99,34.54,62,662,11.156250521,0,0,0.2456094366,0.7543905634,Medium
0,11825,341.84,F,F3,8 years,RENT,85000,Source Verified,debt_consolidation,TN,13,9632,26,Individual,0,60,24.24,21.4,47,662,11.350406535,0,1,0.6367846404,0.3632153596,High
0,15000,473.45,B,B1,10+ years,MORTGAGE,36000,Not Verified,debt_consolidation,OK,14,18114,44,Individual,0,36,8.49,28.43,35.2,732,10.491274217,0,0,0.0739045146,0.9260954854,Low
0,21000,662.83,B,B1,10+ years,MORTGAGE,92000,Not Verified,debt_consolidation,HI,12,37240,21,Individual,0,36,8.49,19.89,37,767,11.429543856,0,0,0.0534575567,0.9465424433,Low
0,22025,807.24,E,E1,< 1 year,RENT,145000,Verified,credit_card,TX,9,11279,23,Individual,0,36,18.99,18.56,86,692,11.884489021,0,0,0.3022956621,0.6977043379,High
0,5600,189.88,C,C3,8 years,RENT,46000,Verified,debt_consolidation,NY,10,10842,14,Individual,0,36,13.44,7.99,91.9,672,10.736396675,0,0,0.1946343761,0.8053656239,Medium
